,T,Age,AgeTag,Sex,yo1,yo1CF,y1,y1CF,yo2,yo2CF,y2,y2CF,yo3,yo3CF,y3,y3CF
220,-1.0,0.76,1.0,1.0,-65.0,195.0,-60.15339332750502,193.80063799952347,136.4,206.39999999999998,137.61360900262815,205.17333541329202,-8.0,206.39999999999998,-16.642886532454952,197.44276547309136
39,-1.0,0.52,1.0,1.0,-65.0,195.0,-66.13716558552544,191.8659710167102,102.80000000000001,172.8,96.03996504301102,176.22330704722296,4.000000000000007,172.8,1.966249007379655,175.01783922799794
264,-1.0,0.5,-1.0,1.0,-65.0,195.0,-70.498163026818,193.41433192647992,100.0,170.0,98.8996925669056,171.18875273200706,5.0,170.0,-0.28534278025895965,174.27909780621695
388,1.0,0.3,-1.0,-1.0,-125.0,-5.0,-123.85676437865527,0.881257042408782,-45.0,-115.0,-48.363071531294366,-118.33993438095196,12.0,-115.0,14.364186939956639,-108.35995917211972
44,-1.0,0.98,1.0,1.0,-65.0,195.0,-69.55708078367769,199.69594055708055,167.2,237.2,161.83199099777337,232.52668616378375,-19.0,237.2,-13.88481795381183,237.41868741284574
110,1.0,0.04,-1.0,1.0,195.0,-65.0,198.88546740465358,-64.91710905536647,105.6,35.6,95.86679445493766,39.438580202639876,105.6,28.0,97.24477435230347,23.668121712831848
297,-1.0,0.6,1.0,-1.0,-5.0,-125.0,-7.647200546014979,-127.57069440413457,-130.0,-60.0,-136.51341137415517,-65.1679679270888,-130.0,54.0,-130.75871556266853,55.63995130091512
477,-1.0,0.76,1.0,-1.0,-5.0,-125.0,1.6240183806928439,-132.49414178618775,-138.0,-68.0,-137.87031619736896,-68.38841940758923,-138.0,76.4,-134.72399305560256,71.04395906372868
388,-1.0,0.94,1.0,-1.0,-5.0,-125.0,-4.243454756251023,-122.11743615479227,-147.0,-77.0,-141.2934322983932,-77.17277609799643,-147.0,101.6,-148.8672775047007,110.1663119178303
27,-1.0,0.6799999999999999,1.0,1.0,-65.0,195.0,-71.45401847251136,192.564817626052,125.19999999999999,195.2,129.91629100877222,205.1557401674072,-4.0,195.2,3.176908083409989,191.13664910973148
